年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2010,Ｊ２,第１８節第２日,07/18(日),19:03,千葉,0-3,札幌,0,3,2,〇,フクアリ,"15,716",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第１９節第２日,07/25(日),16:04,札幌,1-2,横浜FC,1,2,2,●,札幌ド,"26,875",スカパースカチャン／ｅ２スカチャン／ＢＳ,0
2010,Ｊ２,第２０節第１日,07/30(金),19:33,岡山,1-0,札幌,1,0,1,●,カンスタ,"11,290",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２１節第１日,08/07(土),15:03,札幌,2-0,北九州,2,0,1,〇,札幌厚別,"6,703",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第２２節第２日,08/15(日),19:33,東京Ｖ,2-1,札幌,2,1,1,●,国立,"7,405",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２３節第１日,08/21(土),13:03,札幌,0-0,栃木,0,0,0,△,札幌厚別,"6,817",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第２４節第２日,08/29(日),19:04,愛媛,2-1,札幌,2,1,1,●,ニンスタ,"4,146",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２５節第１日,09/11(土),16:04,大分,1-2,札幌,1,2,2,〇,鴨池,"4,594",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第２６節第２日,09/19(日),13:03,札幌,0-1,鳥栖,0,1,2,●,札幌厚別,"6,888",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２７節第１日,09/23(木・祝),19:04,柏,5-1,札幌,5,1,1,●,柏,"6,916",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第２８節第１日,09/26(日),13:03,札幌,0-0,岐阜,0,0,0,△,札幌厚別,"5,429",スカパースカチャン／ｅ２スカチャン,1
2011,Ｊ２,第１９節第１日,07/02(土),18:03,栃木,1-1,札幌,1,1,0,△,栃木グ,"4,736",スカパー／ｅ２／スカパー光／とちぎテレビ,1
2011,Ｊ２,第２節第２日,07/06(水),19:03,札幌,0-0,北九州,0,0,0,△,札幌ド,"7,811",スカパー／ｅ２／スカパー光,1
2011,Ｊ２,第２０節第１日,07/09(土),14:05,札幌,3-1,愛媛,3,1,1,〇,札幌厚別,"5,350",スカパー／ｅ２／スカパー光／ＮＨＫ札幌／ひかりＴＶ,3
2011,Ｊ２,第２１節第１日,07/16(土),14:04,札幌,2-1,水戸,2,1,1,〇,札幌厚別,"4,609",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２２節第１日,07/23(土),19:03,千葉,2-0,札幌,2,0,1,●,フクアリ,"10,989",スカパー／ｅ２（録）／スカパー光,0
2011,Ｊ２,第２３節第２日,07/31(日),15:03,札幌,1-0,岐阜,1,0,1,〇,札幌厚別,"8,904",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２４節第２日,08/14(日),18:04,富山,1-2,札幌,1,2,2,〇,富山,"3,939",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３節第４日,08/17(水),19:03,札幌,4-0,千葉,4,0,1,〇,札幌ド,"11,765",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２５節第１日,08/21(日),13:03,札幌,2-1,京都,2,1,1,〇,函館,"6,310",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２６節第１日,08/26(金),19:33,岡山,1-0,札幌,1,0,1,●,カンスタ,"6,759",スカパー／ｅ２／スカパー光／ひかりＴＶ,0
2011,Ｊ２,第４節第３日,09/03(土),18:04,水戸,1-2,札幌,1,2,2,〇,Ｋｓスタ,"2,748",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第２７節第２日,09/11(日),13:04,札幌,1-0,栃木,1,0,1,〇,札幌厚別,"10,110",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２８節第１日,09/17(土),18:03,北九州,0-3,札幌,0,3,2,〇,本城,"4,693",スカパー／ｅ２（録）／スカパー光,3
2011,Ｊ２,第５節第２日,09/21(水),19:03,札幌,4-2,東京Ｖ,4,2,1,〇,札幌ド,"11,368",スカパー／ｅ２／スカパー光／ひかりＴＶ,3
2011,Ｊ２,第２９節第２日,09/24(土),13:03,札幌,0-0,徳島,0,0,0,△,札幌厚別,"10,215",スカパー／ｅ２／スカパー光,1
2012,Ｊ１,第１７節第１日,07/07(土),14:03,札幌,0-1,新潟,0,1,2,●,札幌厚別,"7,673",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第１８節第１日,07/14(土),19:05,磐田,4-1,札幌,4,1,1,●,ヤマハ,"11,367",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第１９節第１日,07/28(土),16:04,札幌,2-1,名古屋,2,1,1,〇,札幌厚別,"8,360",スカパー／ｅ２／スカパー光,3
2012,Ｊ１,第２０節第１日,08/04(土),19:04,Ｃ大阪,4-0,札幌,4,0,1,●,金鳥スタ,"8,226",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２１節第１日,08/11(土),14:03,札幌,2-1,仙台,2,1,1,〇,札幌ド,"11,945",スカパー／ｅ２／スカパー光,3
2012,Ｊ１,第２２節第１日,08/18(土),14:03,札幌,2-4,神戸,2,4,2,●,札幌厚別,"8,117",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２３節第１日,08/25(土),19:04,Ｇ大阪,7-2,札幌,7,2,1,●,万博,"15,056",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第２４節第１日,09/01(土),14:03,札幌,0-2,清水,0,2,2,●,札幌ド,"10,783",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２５節第１日,09/15(土),19:04,柏,3-1,札幌,3,1,1,●,柏,"10,445",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２６節第１日,09/22(土・祝),14:02,札幌,0-5,大宮,0,5,2,●,札幌厚別,"7,474",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第２７節第１日,09/29(土),19:04,川崎Ｆ,1-0,札幌,1,0,1,●,等々力,"20,909",スカパー／ｅ２／スカパー光,0
2013,Ｊ２,第２２節第１日,07/03(水),19:04,徳島,1-0,札幌,1,0,1,●,鳴門大塚,"1,875",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第２３節第１日,07/07(日),14:03,札幌,3-0,福岡,3,0,1,〇,札幌厚別,"6,257",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２４節第１日,07/14(日),18:03,東京Ｖ,2-1,札幌,2,1,1,●,味スタ,"5,753",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第２５節第１日,07/20(土),18:03,松本,2-4,札幌,2,4,2,〇,松本,"11,019",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２６節第１日,07/27(土),14:03,札幌,3-0,鳥取,3,0,1,〇,札幌ド,"12,696",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２７節第１日,08/04(日),18:04,富山,3-1,札幌,3,1,1,●,富山,"4,071",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第２８節第１日,08/11(日),15:03,札幌,2-0,横浜FC,2,0,1,〇,札幌厚別,"8,756",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第２９節第１日,08/18(日),18:03,Ｇ大阪,3-0,札幌,3,0,1,●,万博,"12,449",スカパー！／スカパー！プレミアムサービス,0
2013,Ｊ２,第３０節第１日,08/21(水),19:03,札幌,3-0,愛媛,3,0,1,〇,札幌厚別,"5,664",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３１節第１日,08/25(日),18:03,水戸,1-3,札幌,1,3,2,〇,Ｋｓスタ,"5,609",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３２節第１日,09/01(日),14:04,札幌,2-2,岡山,2,2,0,△,札幌厚別,"6,792",スカパー！／スカパー！プレミアムサービス,1
2013,Ｊ２,第３３節第１日,09/15(日),18:03,栃木,4-3,札幌,4,3,1,●,栃木グ,"4,340",スカパー！／スカパー！プレミアムサービス／とちぎテレビ,0
2013,Ｊ２,第３４節第１日,09/22(日),13:03,札幌,1-0,長崎,1,0,1,〇,札幌厚別,"7,618",スカパー！／スカパー！プレミアムサービス,3
2013,Ｊ２,第３５節第１日,09/29(日),15:03,熊本,2-1,札幌,2,1,1,●,うまスタ,"6,051",スカパー！／スカパー！プレミアムサービス,0
2014,Ｊ２,第２１節第１日,07/05(土),18:04,長崎,0-1,札幌,0,1,2,〇,長崎県立,"4,290",スカパー！／スカパー！プレミアムサービス,3
2014,Ｊ２,第２２節第１日,07/20(日),14:03,札幌,1-1,大分,1,1,0,△,札幌ド,"20,633",スカパー！／スカパー！プレミアムサービス,1
2014,Ｊ２,第２３節第１日,07/26(土),19:04,愛媛,2-3,札幌,2,3,2,〇,ニンスタ,"5,017",スカパー！／スカパー！プレミアムサービス,3
