年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,ホームスコア,アウェイスコア,結果,札幌の結果は？,スタジアム,入場者数,インターネット中継・TV放送,points
2010,Ｊ２,第３５節第１日,11/20(土),17:03,横浜FC,1-0,札幌,1,0,1,●,日産ス,"8,433",スカパースカチャン／ｅ２スカチャン,0
2010,Ｊ２,第３６節第１日,11/23(火・祝),17:03,札幌,1-0,徳島,1,0,1,〇,札幌ド,"9,507",スカパースカチャン／ｅ２スカチャン,3
2010,Ｊ２,第３７節第１日,11/27(土),17:34,福岡,0-0,札幌,0,0,0,△,レベスタ,"14,713",スカパースカチャン／ｅ２スカチャン,1
2010,Ｊ２,第３８節第１日,12/04(土),12:34,札幌,4-0,熊本,4,0,1,〇,札幌ド,"14,299",スカパースカチャン／ｅ２スカチャン,3
2011,Ｊ２,第１節第１日,03/05(土),14:02,愛媛,2-0,札幌,2,0,1,●,ニンスタ,"6,230",スカパー／ｅ２／スカパー光／ＮＨＫ松山／ＮＨＫ札幌,0
2011,Ｊ２,第８節第１日,04/23(土),16:04,札幌,0-1,湘南,0,1,2,●,札幌ド,"11,734",スカパー／ｅ２／スカパー光,0
2011,Ｊ２,第９節第１日,04/30(土),13:04,Ｆ東京,0-0,札幌,0,0,0,△,味スタ,"17,572",スカパー／ｅ２／スカパー光／ひかりＴＶ／ＴＯＫＹＯ　ＭＸ（録）,1
2011,Ｊ２,第１０節第１日,05/04(水・祝),14:04,札幌,1-0,草津,1,0,1,〇,札幌ド,"12,386",スカパー／ｅ２／スカパー光／北海道テレビ,3
2011,Ｊ２,第１１節第１日,05/08(日),16:03,熊本,1-0,札幌,1,0,1,●,熊本,"5,709",スカパー／ｅ２／スカパー光／ひかりＴＶ,0
2011,Ｊ２,第１２節第２日,05/15(日),14:03,札幌,2-0,鳥取,2,0,1,〇,札幌ド,"9,326",スカパー／ｅ２／スカパー光／ＮＨＫ札幌,3
2011,Ｊ２,第１３節第１日,05/21(土),13:04,鳥栖,1-0,札幌,1,0,1,●,ベアスタ,"4,248",スカパー／ｅ２／スカパー光,0
2011,Ｊ２,第１４節第３日,05/29(日),13:04,札幌,2-1,岡山,2,1,1,〇,札幌厚別,"5,567",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第１５節第１日,06/04(土),16:05,大分,0-1,札幌,0,1,2,〇,大銀ド,"7,788",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第１６節第１日,06/12(日),13:03,札幌,0-2,横浜FC,0,2,2,●,室蘭,"7,330",スカパー／ｅ２／スカパー光／ひかりＴＶ,0
2011,Ｊ２,第１７節第１日,06/19(日),18:04,岐阜,1-3,札幌,1,3,2,〇,長良川,"3,945",スカパー／ｅ２（録）／スカパー光,3
2011,Ｊ２,第１８節第２日,06/26(日),14:03,札幌,0-0,富山,0,0,0,△,札幌ド,"10,357",スカパー／ｅ２／スカパー光,1
2011,Ｊ２,第３０節第２日,10/02(日),16:03,横浜FC,1-2,札幌,1,2,2,〇,国立,"16,813",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３１節第２日,10/16(日),13:04,札幌,0-1,鳥栖,0,1,2,●,札幌厚別,"8,674",スカパー／ｅ２／スカパー光,0
2011,Ｊ２,第６節第１日,10/19(水),19:04,京都,4-0,札幌,4,0,1,●,西京極,"3,601",スカパー／ｅ２／スカパー光／ＫＢＳ京都,0
2011,Ｊ２,第３２節第１日,10/22(土),17:03,鳥取,1-0,札幌,1,0,1,●,とりスタ,"3,108",スカパー／ｅ２／スカパー光,0
2011,Ｊ２,第７節第１日,10/26(水),19:04,徳島,0-2,札幌,0,2,2,〇,鳴門大塚,"3,571",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３３節第２日,10/30(日),13:05,札幌,3-0,熊本,3,0,1,〇,札幌厚別,"9,337",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３４節第１日,11/06(日),16:03,東京Ｖ,2-1,札幌,2,1,1,●,味スタ,"5,425",スカパー／ｅ２／スカパー光,0
2011,Ｊ２,第３５節第１日,11/12(土),13:03,札幌,2-0,大分,2,0,1,〇,札幌厚別,"8,766",スカパー／ｅ２／スカパー光／テレビ北海道,3
2011,Ｊ２,第３６節第２日,11/20(日),13:04,草津,2-1,札幌,2,1,1,●,正田スタ,"5,565",スカパー／ｅ２／スカパー光／群馬テレビ（録）,0
2011,Ｊ２,第３７節第１日,11/26(土),14:03,湘南,0-2,札幌,0,2,2,〇,平塚,"7,828",スカパー／ｅ２／スカパー光,3
2011,Ｊ２,第３８節第１日,12/03(土),12:32,札幌,2-1,Ｆ東京,2,1,1,〇,札幌ド,"39,243",スカパー／ｅ２／スカパー光／札幌テレビ／ひかりＴＶ,3
2012,Ｊ１,第１節第１日,03/10(土),14:04,札幌,0-0,磐田,0,0,0,△,札幌ド,"25,353",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,1
2012,Ｊ１,第２節第１日,03/17(土),17:06,神戸,2-1,札幌,2,1,1,●,ホームズ,"14,036",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第３節第１日,03/24(土),16:03,札幌,1-2,浦和,1,2,2,●,札幌ド,"20,192",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第４節第１日,03/31(土),18:34,清水,1-0,札幌,1,0,1,●,アウスタ,"14,216",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第５節第１日,04/07(土),14:05,札幌,0-2,柏,0,2,2,●,札幌ド,"14,023",スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0
2012,Ｊ１,第６節第１日,04/14(土),16:03,名古屋,3-1,札幌,3,1,1,●,豊田ス,"12,896",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第７節第１日,04/21(土),14:04,札幌,2-3,川崎Ｆ,2,3,2,●,札幌ド,"11,119",スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ札幌,0
2012,Ｊ１,第８節第１日,04/28(土),16:03,大宮,2-1,札幌,2,1,1,●,ＮＡＣＫ,"8,435",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）,0
2012,Ｊ１,第９節第１日,05/03(木・祝),14:03,札幌,1-0,Ｃ大阪,1,0,1,〇,札幌厚別,"9,596",スカパー／ｅ２／スカパー光,3
2012,Ｊ１,第１０節第１日,05/06(日),13:03,横浜FM,2-1,札幌,2,1,1,●,日産ス,"24,183",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第１１節第１日,05/12(土),13:04,札幌,0-1,Ｆ東京,0,1,2,●,札幌ド,"10,816",スカパー／ｅ２／スカパー光／北海道テレビ,0
2012,Ｊ１,第１２節第１日,05/19(土),17:04,鹿島,7-0,札幌,7,0,1,●,カシマ,"13,915",スカパー／ｅ２／スカパー光,0
2012,Ｊ１,第１３節第２日,05/26(土),14:04,札幌,1-3,広島,1,3,2,●,札幌厚別,"6,870",スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１,0
2012,Ｊ１,第１４節第１日,06/16(土),13:33,仙台,4-1,札幌,4,1,1,●,ユアスタ,"13,554",スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ミヤギテレビ,0
2012,Ｊ１,第１５節第１日,06/23(土),14:03,札幌,0-4,Ｇ大阪,0,4,2,●,札幌ド,"14,759",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,0
